XG20,XG21,XG22,XG44,XG43,XG23,XG24,XG25,XG46,XG45
0.823,1.076,1.249,1.35,1.461,0.884,1,1.288,1.255,1.284
1.046,0.859,1.166,0.646,0.772,1.325,1.302,0.687,1.056,1.044
0.837,1.255,1.225,1.494,1.492,1.084,0.865,1.645,1.702,1.351
1.027,1.015,0.76,0.876,0.736,1.354,0.677,0.696,0.47,0.998
1.057,1.17,0.703,0.694,0.744,1.244,0.867,0.747,0.751,0.713
1.009,0.756,1.16,1.232,1.206,0.835,0.93,0.805,1.008,0.986
1.055,1.325,1.219,1.364,1.412,1.13,0.897,1.245,1.189,1.099
1.502,1.367,0.816,0.478,0.916,1.167,1.113,0.675,0.905,1.03
1.066,0.897,1.097,1.121,1.354,1.114,0.996,1.054,0.87,0.785
0.958,1.134,1.062,1.13,1.149,1.12,0.893,0.927,0.984,0.874
0.991,0.978,1.191,0.491,0.673,1.22,1.289,0.685,0.977,1.07
1.056,1.387,1.324,1.047,1.232,1.548,0.807,1.092,1.021,0.654
1.101,1.205,0.947,1.087,1.033,1.109,0.905,1.018,1.099,1.022
1.284,0.456,1.215,0.969,1.095,0.269,1.391,0.262,0.235,0.171
0.922,1.392,1.664,1.584,1.697,0.826,0.854,1.92,1.813,1.391
0.508,0.642,0.35,0.633,0.613,0.491,0.608,0.719,0.458,0.615
1.106,1.293,1.523,1.344,1.487,1.01,1.031,1.32,1.073,1.138
0.936,0.927,1.143,0.814,1.022,0.934,1.229,0.771,0.991,1.031
1.043,1.027,0.905,0.704,0.983,1.082,0.974,1.05,1.116,1.064
1.048,1.259,1.034,1.082,1.191,1.097,1,1.114,1.195,1.17
0.863,1.129,0.659,0.848,0.737,0.761,0.733,0.683,0.9,0.533
0.717,1.208,0.733,1.035,1.028,1.36,0.869,0.972,0.843,0.912
0.982,0.724,1.485,0.748,1.027,1.067,1.082,0.818,1.117,1.337
1.105,1.13,1.423,1.217,1.321,0.825,0.746,1.031,0.833,0.944
0.59,0.814,1.092,0.56,0.314,1.999,0.529,1.357,0.419,0.989
0.884,1.167,1.128,1.119,1.076,0.942,0.767,1.247,1.149,0.973
1.038,1.031,0.682,0.619,0.478,1.294,0.947,0.701,0.444,0.674
0.471,7.909,0.652,0.444,0.812,5.292,0.833,1.612,0.749,0.459
1.096,1.171,1.146,1.029,1.123,0.879,0.935,1.096,1.127,1.043
0.988,0.965,1.005,0.845,1.009,0.869,1.314,0.813,0.92,0.995
1.175,0.847,0.786,0.687,0.612,1.497,0.909,0.8,0.934,0.997
1.442,0.84,1.662,1.527,2.761,1.451,3.046,1.734,3.735,13.251
0.915,0.552,1.051,1.091,0.982,0.924,0.72,0.903,0.839,1.024
1.095,1.316,1.096,1.474,1.176,1.06,1.119,1.382,1.237,1.109
0.977,1.01,0.946,0.911,0.873,0.864,1.036,0.747,0.772,0.878
1.024,1.438,1.129,1.411,1.393,1.338,0.967,1.498,1.102,1.477
1.072,1.268,1.522,1.288,1.528,1.314,1.034,1.472,1.094,1.068
1.134,1.057,1.084,1.126,0.956,1.229,1.037,0.896,0.989,1.025
0.774,1.386,1.42,1.607,1.848,0.739,0.782,1.872,1.987,1.207
1.332,0.691,0.638,0.689,0.648,1.481,0.964,0.723,0.758,0.906
0.882,1.218,1.153,1.081,1.012,0.963,0.936,1.077,1.07,0.956
0.918,1.31,1.092,1.501,1.286,1.113,0.832,1.496,1.06,1.156
1.082,1.108,1.135,0.829,0.68,1.173,0.971,1.121,0.901,1.181
1.082,1.121,0.536,1.166,1.101,1.122,1.095,1.111,0.818,0.782
0.852,0.979,1.233,1.442,1.223,1.175,0.948,1.125,1.157,1.087
0.703,0.757,1.36,0.583,0.402,2.248,0.528,1.28,0.425,1.065
0.895,0.924,0.984,0.906,1.291,0.803,0.971,0.882,1.064,1.088
0.849,0.798,1.398,1.435,1.586,0.872,0.983,1.552,1.117,1.199
1.037,1.029,0.743,0.819,0.84,0.941,1.218,0.797,0.891,0.868
0.843,0.801,0.685,1.376,1.289,0.731,0.801,1.201,1.281,1.506
0.979,0.95,0.923,1.142,1.25,0.889,1.097,0.955,0.861,0.914
1.152,1.135,1.346,1.208,1.515,1.223,0.829,1.365,1.184,1.033
0.882,0.671,0.951,1.011,0.932,0.862,0.885,1.141,0.993,0.906
1.107,1.625,1.085,1.738,1.494,1.404,1.043,0.994,0.999,0.699
0.882,0.835,1.167,1.34,1.333,0.857,0.938,0.932,1.36,1.083
1.095,0.911,0.737,0.701,0.736,0.843,1.229,0.852,0.827,0.877
0.782,1.019,1.48,0.862,0.772,0.834,1.24,0.739,0.669,0.721
0.872,1.1,1.138,0.943,1.108,0.969,0.76,1.075,1.487,0.992
1.123,1.305,1.608,1.413,1.44,1.009,0.974,1.176,1.049,1.118
0.984,0.936,0.987,0.881,1.275,1.019,1.009,0.87,1.106,1.336
1.305,0.811,0.955,0.857,0.855,1.347,0.893,0.816,0.847,1.193
1.282,0.751,0.662,0.806,0.768,1.176,0.974,0.712,0.789,0.779
0.823,0.996,1.311,1.988,2.034,0.687,0.799,1.666,1.403,1.177
0.56,1.462,0.955,1.095,1.35,1.136,0.674,1.2,1.272,1.165
0.28,0.225,0.223,0.405,0.294,0.16,0.277,0.195,0.262,0.242
0.904,0.96,0.902,0.78,0.869,0.96,1.242,0.776,0.902,0.891
1.175,1.086,1.23,1.009,1.587,1.165,0.975,1.079,0.851,0.9
1.977,0.616,3.286,0.92,2.396,1.799,4.579,2.197,3.165,2.7
0.762,1.76,2.132,2.143,1.291,0.557,0.465,1.042,1.121,1.121
0.274,0.182,0.202,0.292,0.233,0.15,0.278,0.186,0.212,0.207
0.988,1.718,0.789,0.524,0.73,0.703,1.307,0.618,1.239,0.756
0.521,1.012,0.662,0.926,0.767,0.783,0.455,1.006,0.575,0.691
0.625,0.703,1.265,1.294,1.177,1.13,0.917,1.086,1.2,1.409
0.54,1.538,1.108,1.526,1.705,0.602,0.807,1.507,1.522,1.001
0.983,1.44,1.253,1.132,1.225,1.228,0.882,1.46,0.875,1.104
0.961,1.385,1.512,1.194,1.325,1.234,0.848,1.249,1.334,1.118
0.714,1.156,0.838,3.844,3.169,1.413,1.494,1.57,4.015,16.969
0.982,0.673,0.892,1.257,1.253,0.907,1.273,0.832,0.855,1.717
0.527,1.024,1.629,1.967,2.009,0.63,0.792,1.859,1.058,1.464
0.823,0.913,1.161,0.912,1.069,0.807,0.823,0.807,1.222,0.639
0.947,0.798,0.772,0.994,0.833,1.008,1.102,0.761,0.673,0.91
0.973,0.926,0.86,0.89,0.833,0.973,1.165,0.75,0.814,0.904
0.665,1.469,2.109,0.881,0.879,0.884,0.657,2.473,0.795,0.675
0.837,1.524,1.199,1.023,1.473,1.249,0.844,1.185,1.407,0.946
1.132,0.747,1.071,1.026,0.938,0.815,1.002,1.359,0.922,0.998
1.037,1.006,0.96,0.959,0.962,0.927,1,1.006,0.75,1.017
0.749,1.677,1.03,1.427,3.064,0.872,0.589,1.008,0.947,1.225
0.193,0.712,0.656,1.299,3.039,0.202,0.3,1.154,3.801,0.52
0.641,0.881,1.272,0.633,0.43,2.213,0.504,1.529,0.458,1.005
1.498,1.087,0.868,1.277,1.246,1.03,1.006,1.059,1.179,0.921
0.97,1.176,0.671,1.127,1.066,1.132,0.964,1.033,0.747,0.751
0.959,0.79,1.28,1.298,0.942,0.694,0.738,1.008,1.418,0.961
1.331,1.525,2.32,1.36,1.061,1.498,0.756,0.689,1.174,1.412
1.206,0.924,1.134,1.484,1.333,0.726,0.998,1.127,0.955,1.152
0.792,0.781,1.512,1.727,1.694,1.013,1.111,0.962,1.17,1.204
0.793,1.2,1.155,1.562,1.21,0.915,0.856,1.389,1.21,1.105
1.036,1.185,1.505,1.23,1.225,1.275,0.891,1.029,1.356,1.027
1.047,0.608,0.701,1.009,0.745,0.886,1.323,0.585,0.813,0.981
1.027,1.416,1.918,1.718,1.74,1.566,1.015,1.838,2.11,1.785
0.93,0.806,0.743,0.836,0.663,0.813,0.42,1.09,0.571,0.657
0.794,0.993,0.908,1.07,1.006,0.925,1.213,0.955,0.884,1.123
1.244,1.092,0.751,0.637,0.798,1.918,1.278,0.888,0.95,0.934
0.941,0.902,1.089,0.858,0.922,1.01,1.156,1.008,1.096,1.135
0.977,1.025,1.292,0.978,1.374,0.715,1.178,0.601,0.707,0.946
0.888,1.885,0.786,1.513,1.21,1.655,1.05,1.256,0.858,1.075
1.032,0.847,0.889,0.906,0.656,0.77,0.932,0.761,0.763,0.93
0.569,1.071,0.476,4.946,3.581,2.379,2.395,1.605,4.609,10.97
0.404,2.019,0.522,1.417,0.596,0.573,0.499,0.566,0.888,0.718
0.939,1.927,0.605,0.641,0.502,1.047,1.835,0.56,1.88,0.958
0.976,0.933,0.869,0.938,0.839,1.166,1.055,0.967,1.009,0.813
0.875,1.066,1.101,0.909,0.96,0.887,1.263,0.867,0.975,0.941
0.864,1.163,1.27,1.429,1.222,1.097,0.822,1.188,1.078,0.824
0.961,1.735,0.771,0.824,0.787,2.103,1.116,0.99,0.856,0.88
0.797,0.974,0.803,0.817,0.786,0.851,0.967,0.704,0.911,0.994
0.977,1.09,0.612,0.98,0.984,1.777,0.748,0.68,0.991,0.801
0.913,1.034,1.128,0.882,1.395,0.808,1.261,0.698,0.72,0.982
1.032,0.979,0.876,1.085,1.015,0.839,1.037,0.802,0.905,1.037
0.944,1.547,0.89,0.86,0.838,1.727,0.694,0.656,0.825,0.974
0.991,0.991,1.083,1.035,1.147,0.901,1.212,0.853,0.895,0.984
0.278,1.877,1.313,0.797,0.629,0.638,1.102,1.986,1.628,0.315
0.885,1.1,1.151,1.03,1.148,0.867,0.799,1.013,1.022,0.971
1.17,1.082,0.827,1.282,0.864,1.14,1.053,1.233,1.532,1.451
0.889,1.346,1.117,2.253,1.731,0.843,0.94,1.134,1.085,0.866
0.906,0.937,0.878,0.714,0.958,0.949,1.436,0.722,0.938,0.846
0.639,1.614,1.666,0.682,0.968,0.76,0.879,0.804,0.827,0.895
0.973,0.921,1.261,0.821,0.506,0.84,0.759,1.128,0.483,1.116
0.241,0.339,0.581,1.983,4.532,0.386,0.478,1.435,1.018,0.787
1.034,1.194,1.264,0.803,0.955,0.713,0.897,1.017,1.04,0.801
0.783,0.87,1.092,0.966,1.091,1.066,0.919,1.036,0.883,1.059
0.78,0.791,1.042,1.202,0.856,0.93,0.862,0.916,0.895,1.02
1.077,0.945,1.144,1.446,1.107,0.703,1.11,0.505,1.321,0.847
0.928,1.15,1.1,0.95,0.947,1.077,0.999,0.939,1.046,0.753
0.887,1.322,0.898,0.87,1.017,0.53,0.85,0.723,0.867,0.756
0.954,0.845,0.938,1.345,0.997,0.896,1.048,0.943,0.872,0.996
0.796,0.79,0.91,0.82,0.852,0.854,1.09,0.835,0.813,1.105
0.928,1.213,1.017,0.741,0.901,1.145,1.627,0.797,0.957,0.902
0.884,1.301,0.978,0.781,1.067,0.821,1.167,0.682,1.059,1.014
0.905,1.113,0.856,0.798,0.823,1.081,1.057,0.51,0.884,0.89
0.795,1.579,1.545,1.371,1.926,1.037,0.631,1.752,0.738,0.745
0.736,0.692,1.033,1.066,0.865,0.835,1.089,0.831,0.938,0.956
0.727,1.089,1.127,1.303,1.374,0.863,0.82,1.046,0.917,0.939
0.995,0.937,0.945,0.886,1.147,1,0.906,1.078,0.95,0.799
0.922,1.495,1.141,0.93,1.092,0.901,1.109,0.919,1.054,0.772
1.038,1.204,0.833,0.956,1.885,1.015,1.336,0.72,0.96,0.854
1.057,0.796,0.812,0.755,0.887,1.118,1.18,0.878,0.983,0.979
0.89,0.954,0.978,0.647,0.783,1.029,0.827,0.863,1.149,0.861
0.688,1.28,1.084,1.073,1.109,0.645,0.877,1.017,1.06,1.108
1.194,0.786,1.145,0.605,0.894,0.948,0.841,1.173,1.221,1.38
1.057,1.697,1.255,0.616,0.82,0.8,0.864,0.818,1.23,0.698
0.984,0.734,0.831,0.87,0.645,0.938,1.044,0.855,0.834,0.929
1.282,0.992,0.989,1.401,1.493,0.646,1.569,1.034,0.725,0.7
0.202,0.373,0.677,0.755,1.177,0.31,0.317,0.688,2.094,3.046
0.793,0.841,0.918,0.693,0.773,0.786,0.721,0.879,1.017,0.833
1.016,0.897,0.852,0.769,0.934,0.883,1.217,0.774,1.007,0.766
0.64,0.52,0.599,1.216,1.159,0.649,1.001,0.936,1.037,1.095
0.85,1.814,1.561,0.482,0.772,0.919,0.877,0.993,1.163,0.842
0.964,1.328,1.301,1.191,0.918,0.84,1.146,1.176,1.221,1.193
0.913,0.968,0.967,1.158,1.262,0.876,1.807,0.846,2.138,1.001
0.78,0.876,0.994,0.983,1.15,0.98,1.082,0.926,1.089,1.085
0.606,0.58,0.749,0.475,0.605,0.749,0.761,1.416,1.687,1.211
0.966,0.933,0.832,0.966,0.852,0.878,1.242,0.885,1.1,0.961
1.056,1.08,1.029,0.856,0.951,1.292,1.145,0.872,0.751,0.913
0.893,0.957,1.048,0.977,1.046,0.984,0.55,1.208,0.924,0.886
0.73,1.561,1.516,1.101,1.309,0.811,0.941,1.34,1.774,1.333
1.008,1.805,1.17,0.57,0.668,1.034,0.989,0.949,1.215,0.988
0.837,1.435,1.115,1.924,1.157,1.17,0.873,1.231,0.9,1.149
1.056,0.929,0.996,0.919,0.928,1.011,1.307,0.944,0.992,1.118
1.171,1.735,1.18,0.59,0.752,0.895,0.849,0.875,1.271,0.896
1.008,1.022,1.199,0.838,0.868,0.807,1.165,1.036,1.172,0.961
0.71,1.16,1.504,0.596,0.745,0.901,0.972,0.82,1.171,1.037
1.259,0.76,0.709,0.912,0.771,0.9,0.956,0.787,0.944,0.752
0.75,1.389,0.971,0.643,0.774,1.205,1.005,0.994,1.025,0.792
0.932,1.316,1.122,0.649,0.823,0.894,1.193,0.871,0.989,0.972
1.007,0.75,1.293,1.34,1.501,0.889,1.43,0.362,1.033,0.926
1.035,1.502,1.216,0.587,0.76,0.903,0.992,0.81,1.091,0.715
0.504,1.443,1.478,0.875,0.946,1.215,1.816,0.638,0.891,1.069
1.01,1.132,0.829,0.941,0.954,0.728,0.901,1.177,1.082,1.149
0.62,0.631,1.122,0.6,0.355,1.452,0.675,1.092,0.634,0.804
0.619,1.504,1.021,1.266,0.824,1.535,0.669,1.384,1.249,0.734
0.674,0.643,0.863,0.486,0.5,0.905,0.597,1.093,1.203,0.816
0.856,0.822,0.99,0.922,0.73,0,0,0,0,0
0.763,0.845,0.912,0.647,0.742,0.953,1.26,1.309,1.075,2.579
1.047,0.877,0.946,0.889,1.088,0.706,0.871,0.643,0.783,0.856
0.811,0.826,1.054,0.925,0.948,1.443,1.297,0.488,0.74,1.662
0.604,0.561,0.319,1.665,0.564,0.589,1.02,0.857,0.747,0.752
0.996,1.09,0.896,0.824,0.913,0.945,0.938,0.775,1.172,1.05
0.85,1.319,1.013,0.904,1.029,0.999,1.015,1.246,1.327,1.034
0.847,1.067,1.319,0.918,1.218,0.902,0.932,0.889,0.951,0.95
0.841,0.864,1.944,1,1.948,1.054,0.928,1.389,1.764,1.232
0.755,0.552,0.627,0.543,0.559,1.068,1.046,0.98,0.957,1.159
1.147,0.842,1.412,0.665,1.032,1.051,1,1.059,1.071,1.177
0.663,0.411,1.898,0.421,0.685,1.067,1.255,0.382,0.417,0.526
0.884,1.755,0.722,0.948,0.951,0.764,1.268,0.774,0.914,0.77
1.022,1.635,1.04,1.329,1.346,0.753,0.819,1.118,1.332,5.405
0.886,0.789,0.717,0.831,1.04,0.836,0.962,0.825,1.425,0.94
0.877,1.405,1.095,0.891,1.024,0.786,0.861,0.733,1.128,0.888
0.825,0.858,1.204,1.063,0.87,0.707,0.905,0.785,0.97,0.888
0.863,0.955,0.888,1.255,1.068,1.019,1.057,0.789,1.21,1.413
1.133,0.872,0.994,0.954,1.163,0.752,1.114,0.82,0.959,0.891
0.888,1.3,0.764,0.924,0.715,0.924,1.229,0.808,0.914,0.899
0.713,0.692,1.024,0.71,0.915,0.769,0.945,0.687,0.706,0.824
0.904,1.413,2.329,0.269,0.611,0.556,1.071,0.992,0.753,0.907
0.906,1.406,1.152,0.742,1,0.746,1.139,0.861,0.987,1.152
0.878,1.192,1.026,0.586,0.763,0.933,1.036,0.675,1.062,0.873
1.319,1.13,0.848,0.508,0.631,0.756,1.274,0.818,0.702,0.67
0.98,1.105,0.879,1.397,1.193,0.884,1.067,0.952,1.238,1.017
0.963,0.923,1.043,1.119,1.15,1.002,1.534,0.741,1.093,1.26
0.852,0.714,0.954,1.786,1.711,0.876,0.903,1.07,1.107,1.112
0.874,0.613,0.637,1.728,0.932,0.968,1.599,0.613,0.73,0.833
0.946,0.547,0.887,2.159,1.092,0.772,1.001,1.033,0.763,1.258
0.754,1.26,1.438,1.157,1.531,0.689,1.415,0.912,1.423,0.723
0.837,0.996,1.058,1.035,0.849,0.749,1.023,0.892,0.839,0.856
0.841,0.897,0.745,0.797,0.726,0.485,0.632,0.509,0.767,0.557
0.655,0.898,1.193,0.801,1.002,0.595,0.746,0.759,2.249,0.782
1.708,1.071,1.001,1.576,1.346,1.145,1.052,1.236,0.988,0.658
1.094,0.79,1.092,1.851,2.48,0.274,0.381,2.616,0.854,0.59
0.934,1.131,1.006,0.794,1.08,0.865,1.044,0.871,0.89,0.876
0.829,0.913,0.812,1.349,1.085,0.475,0.969,0.753,0.756,0.599
1.009,0.902,1.1,0.715,1.226,0.756,0.955,1.077,0.835,1.324
1.125,0.853,1.332,1.75,1.606,1.169,0.673,1.239,0.857,1.122
0.909,0.847,1.354,1.209,0.878,0.709,1.136,0.532,0.53,0.685
0.687,0.666,1.094,0.813,0.824,0.575,0.699,0.989,1.156,0.931
0.828,0.98,0.693,1.016,1.279,0.792,0.835,0.669,0.915,0.82
1.032,0.915,0.866,0.716,0.644,1.236,1.389,1.208,1.015,1.365
1.027,0.993,0.805,0.855,1.017,1.016,1.268,0.747,0.83,0.874
0.959,0.846,0.796,0.903,0.893,0.833,1.023,0.738,0.823,1.017
0.689,0.573,1.247,1.442,2.154,0.786,1.17,0.828,0.964,2.45
2.372,0.985,1.282,1.95,2.86,1.652,1.467,3.534,4.261,11.15
0.709,1.119,0.696,0.66,0.988,0.633,0.919,0.817,0.721,0.773
0.802,0.996,0.782,1.256,1.134,0.569,0.882,0.925,1.952,1.629
0.643,0.602,0.539,0.478,0.564,0.746,0.839,1.082,0.966,0.845
2.644,1.012,0.769,0.718,1.031,0.247,0.979,0.394,0.728,1.626
0.829,1.479,1.169,0.954,1.06,0.746,0.917,1.095,1.27,0.824
1.174,0.976,1.016,0.84,0.826,0.858,1.652,0.669,1.031,1.06
0.982,0.848,1.057,1.008,0.888,0.803,0.857,0.948,0.809,0.837
1.003,0.972,1.298,0.928,1.4,0.834,1.127,1.069,1.328,1.139
1.9,0.61,1.083,1.594,2.626,1.542,1.684,3.638,5.098,8.883
0.818,0.945,1.227,0.931,0.86,1.123,0.984,0.776,0.996,0.889
0.947,0.868,0.895,0.933,0.997,0.766,1.217,0.741,0.938,1.024
0.976,1.112,1.199,1.346,1.424,1.084,0.998,0.934,0.755,0.926
0.958,0.774,1.145,1.502,1.306,0.886,1.026,1.216,1.125,1.018
2.393,0.428,1.654,1.172,2.184,1.967,11.817,1.472,1.49,4.144
1.045,1.183,1.25,1.167,1.285,0.951,1.007,1.082,1.171,1.002
0.979,1.719,1.463,1.543,2.017,0.559,0.721,1.647,1.762,0.784
0.272,2.037,0.264,2.29,0.428,0,0,0,0,0
0.978,0.848,0.874,1.146,1.156,0.99,1.044,0.956,1.003,0.946
0.954,1.007,1.042,0.62,0.846,0.774,1.076,0.684,1.002,0.924
0.731,1.328,1.627,1.943,2.451,0.81,0.991,1.391,1.247,1.043
1.083,1.2,0.837,1.174,1.267,0.897,1.378,0.938,1.016,1.042
0.747,0.648,0.922,0.821,0.841,0.827,1.305,0.762,0.919,2.484
2.754,1.343,1.245,2.07,11.656,0,0,0,0,0
0.351,0.541,0.596,0.808,1.072,0.395,0.415,0.839,2.117,5.343
0.803,1.607,1.491,0.679,0.886,0.834,0.815,0.908,1.167,0.853
0.341,0.546,0.726,0.186,0.361,0.642,0.653,1.04,1.439,0.647
0.752,1.15,1.1,1.463,1.61,0.853,0.979,1.106,0.903,2.385
0.944,0.884,1.069,0.963,0.889,0.91,0.988,1.163,1.079,0.966
0.869,0.958,0.849,1.114,1.069,1.22,0.922,0.889,1.086,0.892
0.872,0.621,1.224,0.585,0.688,0.548,0.946,0.844,0.613,0.902
0.75,0.941,1.177,1.219,1.324,0.873,0.751,1.097,1.08,1.095
1.392,1.079,1.17,0.414,0.468,1.106,1.077,0.737,0.701,0.717
0.907,0.785,0.905,1.473,1.048,0.747,1.043,0.915,1.073,1.008
1.076,1.177,1.092,1.476,1.398,0.607,0.987,1.364,1.791,0.856
0.844,0.968,0.848,0.824,1.078,0.93,1.268,0.779,0.595,0.767
3.517,0.747,1.604,1.26,1.887,0.869,0.877,7.466,14.277,5.083
0.525,0.726,1.081,0.572,0.378,1.79,0.493,1.231,0.419,1.346
0.845,1.371,1.043,1.145,1.361,0.831,1.146,0.752,0.804,0.822
0.739,0.754,0.85,2,1.853,0.56,0.757,1.045,0.927,1.454
0.989,0.567,1.24,0.524,0.999,0.824,0.775,1.161,1.27,0.929
0.701,0.629,1.083,0.844,1.341,0.826,1.129,0.854,1.088,1.22
1.047,1.808,1.067,1.269,1.366,2.015,0.638,0.782,1.226,0.921
0.885,2.396,1.163,0.638,0.65,0.693,0.848,0.873,0.839,0.598
0.739,1.538,0.983,1.711,1.216,0.729,0.722,0.897,0.815,2.801
0.59,0.931,1.631,0.919,1.05,0.843,1.198,0.855,0.771,0.977
0.827,0.81,1.021,1.077,1.097,0.757,0.816,1.081,0.905,0.808
0.664,0.669,0.572,0.618,0.601,0.427,0.576,1.039,0.766,0.849
0.917,0.87,0.907,1.061,1.009,1.025,0.838,2.182,2.369,1.505
1.225,0.879,1.096,0.971,0.959,0.894,1.646,1.066,1.026,2.391
0.995,1.068,2.083,0.824,0.808,0.98,1.23,0.993,0.998,1.044
1.265,1.03,1.291,1.09,1.188,1.192,0.402,1.835,1.991,1.623
0.741,0.994,0.75,1.318,1.052,1.083,1.403,1.046,1.179,1.265
1.011,0.898,0.873,1.024,1.649,1.084,1.093,1.048,1.111,0.891
0.826,1.303,1.047,1.434,1.465,0.882,1.323,1.001,0.879,0.858
0.98,1.201,1.29,1.86,3.003,0.548,1.229,2.226,1.674,1.635
0.622,0.892,0.931,0.583,0.95,0.628,0.969,1.26,0.81,1.131
1.111,1.503,1.522,1.012,1.228,0,0,0,0,0
0.676,0.777,1.016,0.818,0.848,0.76,0.745,0.644,0.814,0.845
0.754,1.234,1.254,0.645,0.816,0.872,0.918,1.206,0.947,0.604
0.938,2.449,1.287,0.63,0.838,0.761,0.885,0.983,1.287,0.903
0.81,0.878,0.981,1.341,1.293,0.786,0.947,1.203,1.239,0.885
0.534,0.914,1.122,1.127,0.929,0.62,0.949,0.994,0.825,1.303
0.711,1.36,0.6,0.81,0.66,0.75,1.084,0.664,0.864,1.092
0.892,0.887,1.165,1.092,0.812,1.004,0.995,0.891,0.79,0.969
0.554,0.593,0.752,0.814,0.88,0.648,0.537,1.052,0.95,1.728
0.501,0.678,1.094,0.52,0.338,1.635,0.364,1.184,0.378,0.857
0.802,1.138,0.662,0.963,0.705,0.638,1.502,0.945,0.756,0.728
0.872,0.895,0.989,1.32,1.501,0.886,0.954,0.936,0.824,0.856
0.85,0.828,1.848,1.54,1.815,1.064,0.99,0.966,0.796,0.902
1.038,0.702,0.835,1.029,0.956,1.006,1.278,0.997,1.041,1.161
1.51,0.977,0.897,0.962,0.902,0.825,0.934,0.787,0.776,0.773
2.059,3.236,0.398,4.268,4.113,0.763,0.799,0.656,1.828,0.632
0.676,0.728,0.717,0.7,0.978,0,0,0,0,0
0,0,0,0,0,0.597,0.798,1.149,1.047,3.239
2.293,0.927,1.056,1.207,1.379,0.609,0.953,0.731,0.411,0.701
0.901,1.254,0.901,0.724,1.044,0.999,1.212,0.837,1.012,1.037
0,0,0,0,0,0.775,1.065,0.962,0.973,1.003
1.04,0.949,0.976,0.896,0.907,0.927,0.996,0.868,0.981,1.055
